Year,Make,Model,Location,Price,Mileage,URL
2019,Tesla,"['model', '3']","Brisbane, QLD",42000,80K km,/marketplace/item/875954014025473/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', 's']","Brisbane, QLD",40000,42K km,/marketplace/item/2023681274654599/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3', 'standard', 'plus', 'rwd']","Brisbane, QLD",49990,25K km,/marketplace/item/1382788895674616/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Brisbane, QLD",54890,23K km,/marketplace/item/1391157834845108/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Brisbane, QLD",53000,16K km,/marketplace/item/730327092406994/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,,"Brisbane, QLD",41000,102K km,/marketplace/item/351613930989014/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Gold Coast, QLD",48000,37K miles,/marketplace/item/2087667621588980/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Gold Coast, QLD",52000,31K km,/marketplace/item/3628653170727285/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",38999,53K km,/marketplace/item/1413417046192308/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Gold Coast, QLD",42500,78K km,/marketplace/item/368206042621673/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",47500,33K km,/marketplace/item/900323134894525/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'rwd']","Brisbane, QLD",57750,7.2K km,/marketplace/item/369450155692279/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Brisbane, QLD",55000,18K km,/marketplace/item/868611681935209/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Gold Coast, QLD",56990,15K km,/marketplace/item/1980873462292413/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Sunshine Coast, QLD",54950,27K km,/marketplace/item/1117538265903120/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3', 'long', 'range']","Brisbane, QLD",58000,31K km,/marketplace/item/1084753416297956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'performance']","Brisbane, QLD",80000,16K km,/marketplace/item/7468226316550458/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,,"Brisbane, QLD",49990,34K km,/marketplace/item/921042029539671/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3', 'performance', 'fsd']","Gold Coast, QLD",69990,24K km,/marketplace/item/1830137987446883/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['standard', 'range', 'plus', 'auto']","Gold Coast, QLD",47990,38K km,/marketplace/item/2430832350422855/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y', 'standard', 'range', 'ev']","Brisbane, QLD",60000,27K km,/marketplace/item/920087653050801/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Bribie Island, QLD",57000,5.1K km,/marketplace/item/359443026807579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', 'performance']","Brisbane, QLD",95000,11K km,/marketplace/item/351087441043161/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['mode', '3', 'long', 'range']","Brisbane, QLD",65000,30K km,/marketplace/item/1091611981838409/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Tesla,"['model', 's', '70', 'sportback']","Brisbane, QLD",44990,125K km,/marketplace/item/1752559891875536/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Brisbane, QLD",52000,96K km,/marketplace/item/1575361666534662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",50000,77K km,/marketplace/item/364036069558447/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '*brand', 'new*']","Brisbane, QLD",71850,300 km,/marketplace/item/1102356777460239/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'performance']","Brisbane, QLD",78700,23K km,/marketplace/item/180134745172699/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['y', 'rwd']","Gold Coast, QLD",62500,6.8K km,/marketplace/item/751911583529496/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Tesla,"['model', 'x', '75d']","Gold Coast, QLD",76500,88K km,/marketplace/item/913901206970981/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3', 'long', 'range']","Brisbane, QLD",69500,11K km,/marketplace/item/1513715799410094/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Tesla,"['model', 'x']","Brisbane, QLD",90000,130K km,/marketplace/item/338391515574220/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', '“as', 'new-driveaway', 'today”']","Brisbane, QLD",59000,13K km,/marketplace/item/1027541868514325/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'long', 'range']","Gold Coast, QLD",73500,19K km,/marketplace/item/320707643794569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,"['model', 'x']","Brisbane, QLD",43000,143K km,/marketplace/item/1095135658309131/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,['model3'],"Gold Coast, QLD",55000,36K km,/marketplace/item/6263819407054898/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '(brand', 'new)']","Brisbane, QLD",71850,300 km,/marketplace/item/1322973235275059/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '**short', 'term', 'visa', 'holder', 'finance', 'available', 'now***']","Brisbane, QLD",71990,,/marketplace/item/697267132590103/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '**finance', 'available**']","Brisbane, QLD",72500,11K km,/marketplace/item/373153658589738/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Toowoomba, QLD",44500,34K km,/marketplace/item/1858376111292126/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Bangalow, NSW",54500,23K km,/marketplace/item/3650509241847222/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Nambour, QLD",66990,17K km,/marketplace/item/1428255207805752/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3', 'performance']","Sunshine Coast, QLD",59000,98K km,/marketplace/item/1150008209291326/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3', 'long', 'range']","Toowoomba, QLD",62000,27K km,/marketplace/item/1559300138182135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,['y'],"Sunshine Coast, QLD",72990,500 km,/marketplace/item/672927331442925/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3']","Scone, NSW",62000,30K km,/marketplace/item/772960171362399/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,BYD,"['atto', '3']","Brisbane, QLD",35000,1.5K km,/marketplace/item/377810704899020/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,BYD,"['atto', '3', 'extended', 'range']","Brisbane, QLD",41500,25K km,/marketplace/item/1832200380596517/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zs'],"Brisbane, QLD",14750,15K km,/marketplace/item/729400635796272/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,MG,"['mg6turbo', 'hatch', 'rego', '&', 'rwc', '🔥']","Gold Coast, QLD",6499,66K km,/marketplace/item/405923791864537/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['zs', 'essence']","Brisbane, QLD",16990,700 km,/marketplace/item/372794861824289/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['zs'],"Brisbane, QLD",17000,57K km,/marketplace/item/675136978132394/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zs'],"Brisbane, QLD",19000,12K km,/marketplace/item/696931969296920/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['mg3'],"Brisbane, QLD",11990,69K km,/marketplace/item/1295857447788696/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,MG,"['mg5', 'essence', '1.5l', 'turbo']","Brisbane, QLD",27499,1.7K km,/marketplace/item/377218634654162/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,['mg3'],"Brisbane, QLD",11600,66K km,/marketplace/item/7114899155266068/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,['mg3'],"Brisbane, QLD",10000,90K km,/marketplace/item/3446603875650371/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['zs', 'excite']","Brisbane, QLD",18500,16K km,/marketplace/item/1286972622000408/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['zs', 'excite']","Brisbane, QLD",15990,36K km,/marketplace/item/270556575997087/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['hs', 'essence']","Gold Coast, QLD",28500,22K km,/marketplace/item/1033559624404910/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,"['3', 'core']","Gold Coast, QLD",13499,51K km,/marketplace/item/341263485375133/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,MG,['6plus'],"Brisbane, QLD",22500,70K km,/marketplace/item/362381163181418/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['hs', 'excite']","Brisbane, QLD",26500,26K km,/marketplace/item/864434035151952/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['mg3'],"Brisbane, QLD",11500,8.5K km,/marketplace/item/1105348937322424/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['mg3'],"Brisbane, QLD",12400,25K km,/marketplace/item/877743307476264/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
