Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2023,Mazda,CX-60,72326,1056,NSW,Drive Away,Petrol,GT 3.3L SUV 4WD,1719639592,Drive,SUV,68550,1.05508388,1,Conventional
2021,Toyota,Camry,32690,26240,VIC,*Excl. Govt. Charges,Petrol,2.5L Sedan FWD,1719638963,Drive,OTHER,30990,1.054856405,3,Conventional
2021,Toyota,Corolla,28888,68634,WA,*Excl. Govt. Charges,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1715394358,Drive,OTHER,27395,1.054498996,3,Hybrid
2023,Kia,EV6,104990,2001,VIC,Drive Away,Electric,SUV 4WD,1712977048,Drive,SUV,99590,1.054222311,1,Electric
2021,Toyota,Corolla,28880,64778,WA,*Excl. Govt. Charges,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1719025586,Drive,OTHER,27395,1.054206972,3,Hybrid
2020,Toyota,Hilux,42490,122472,WA,*Excl. Govt. Charges,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,1719639442,Drive,OTHER,40310,1.054080873,4,Conventional
2019,Toyota,RAV4,47405,70310,VIC,Drive Away,Hybrid,2.5L SUV 4WD Hybrid,1717824277,Drive,SUV,44990,1.053678595,5,Hybrid
2021,Toyota,Corolla,32433,52022,NSW,Drive Away,Hybrid,Hybrid 1.8L Sedan FWD Hybrid,1715394096,Drive,OTHER,30795,1.053190453,3,Hybrid
2020,Toyota,C-HR,31888,82103,VIC,Drive Away,Petrol,1.2L SUV FWD,1712977442,Drive,SUV,30290,1.052756685,4,Conventional
2020,Toyota,Corolla,28830,72782,NSW,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1716606382,Drive,OTHER,27395,1.052381822,4,Hybrid
2020,Toyota,Corolla,28830,57190,NSW,Drive Away,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,1711776683,Drive,OTHER,27395,1.052381822,4,Hybrid
2019,Toyota,Corolla,24710,29093,NSW,Drive Away,Petrol,1.8L Sedan FWD,1714787581,Drive,OTHER,23490,1.051936994,5,Conventional
