Year,Make,Model,Price,Location,Mileage,Fuel Type,URL
2022,Toyota,Hilux,"$68,998*Excl. Govt. Charges","Maddington, WA","30,705 km",Diesel,drive.com.au/cars-for-sale/car/969463126/
2013,Nissan,Pathfinder,"$17,450Drive Away","Coburg North , VIC","155,188 km",Petrol,drive.com.au/cars-for-sale/car/969463154/
2023,SKODA,Kamiq,"$43,125Drive Away","Artarmon, NSW",5 km,Petrol,drive.com.au/cars-for-sale/car/969463027/
2020,Nissan,QASHQAI,"$27,490Drive Away","Kunda Park, QLD","42,740 km",Petrol,drive.com.au/cars-for-sale/car/969463032/
2023,SKODA,Superb,"$71,413Drive Away","Artarmon, NSW",5 km,Petrol,drive.com.au/cars-for-sale/car/969463188/
2023,Mazda,3,"$46,990Drive Away","Arncliffe, NSW",7 km,Petrol,drive.com.au/cars-for-sale/car/969463036/
2023,SKODA,Kodiaq,"$51,463Drive Away","Artarmon, NSW",13 km,Petrol,drive.com.au/cars-for-sale/car/969463190/
2023,Volvo,XC40,"$62,890Drive Away","Mulgrave, VIC","2,000 km",Petrol,drive.com.au/cars-for-sale/car/969463047/
2023,Mitsubishi,Outlander,"$49,750Drive Away","Redcliffe, QLD",6 km,Petrol,drive.com.au/cars-for-sale/car/969463072/
2015,Hyundai,Tucson,"$29,495Drive Away","Windsor, QLD","39,467 km",Diesel,drive.com.au/cars-for-sale/car/969463074/
2023,Mitsubishi,Outlander,"$49,750Drive Away","Redcliffe, QLD",6 km,Petrol,drive.com.au/cars-for-sale/car/969463077/
2019,Hyundai,Santa Fe,"$29,990Drive Away","Callemondah, QLD","128,187 km",Petrol,drive.com.au/cars-for-sale/car/969463081/
2018,Ford,Ranger,"$42,980Drive Away","Acacia Ridge, QLD","123,588 km",Diesel,drive.com.au/cars-for-sale/car/969463082/
2023,Isuzu,D-MAX,"$41,990Drive Away","Cheltenham, VIC",20 km,Diesel,drive.com.au/cars-for-sale/car/969463092/
2017,Holden,Colorado,"$29,860Drive Away","Erina, NSW","110,335 km",Diesel,drive.com.au/cars-for-sale/car/969463113/
2021,Toyota,Landcruiser,"$155,990Drive Away","Underwood, QLD","46,668 km",Diesel,drive.com.au/cars-for-sale/car/969463116/
2021,Lexus,RX,"$61,888*Excl. Govt. Charges","Maddington, WA","40,180 km",Petrol,drive.com.au/cars-for-sale/car/969463124/
2022,Toyota,Hilux,"$68,998*Excl. Govt. Charges","Maddington, WA","30,705 km",Diesel,drive.com.au/cars-for-sale/car/969463130/
2023,Porsche,Macan,"$149,990Drive Away","Brighton, VIC","5,732 km",Petrol,drive.com.au/cars-for-sale/car/969463142/
2022,Mazda,2,"$30,890Drive Away","Campbelltown, NSW","6,798 km",Petrol,drive.com.au/cars-for-sale/car/969463148/
2017,Honda,HR-V,"$24,705Drive Away","Coburg North , VIC","67,348 km",Petrol,drive.com.au/cars-for-sale/car/969463153/
2022,Volkswagen,T-Cross,"$32,990Drive Away","Medindie , SA","3,527 km",Petrol,drive.com.au/cars-for-sale/car/969463160/
2023,Audi,Q5,"$99,267Drive Away","Cairns, QLD",24 km,Diesel,drive.com.au/cars-for-sale/car/969463169/
2018,Mazda,6,"$17,990Drive Away",QLD,"193,200 km",Petrol,drive.com.au/cars-for-sale/car/969463170/
2023,SKODA,Octavia,"$54,740Drive Away","Artarmon, NSW",5 km,Petrol,drive.com.au/cars-for-sale/car/969463187/
2023,Nissan,Pathfinder,"$83,444Drive Away","Indooroopilly, QLD",20 km,Petrol,drive.com.au/cars-for-sale/car/969462864/
2016,Honda,CR-V,"$22,135Drive Away","Dubbo , NSW","117,596 km",Petrol,drive.com.au/cars-for-sale/car/969462848/
2023,Nissan,QASHQAI,"$46,298Drive Away","Indooroopilly, QLD",20 km,Petrol,drive.com.au/cars-for-sale/car/969462865/
2023,Audi,A3,"$58,389*Excl. Govt. Charges","Bentley , WA","4,000 km",Petrol,drive.com.au/cars-for-sale/car/969462882/
2017,Audi,Q3,"$27,366Drive Away","Parkside, SA","63,900 km",Petrol,drive.com.au/cars-for-sale/car/969462858/
2023,Ford,Ranger,"$84,988*Excl. Govt. Charges","Bentley , WA",45 km,Diesel,drive.com.au/cars-for-sale/car/969462896/
2023,Mazda,CX-90,"$101,888Drive Away","Arncliffe, NSW",7 km,Diesel,drive.com.au/cars-for-sale/car/969462859/
2022,Toyota,Hilux,"$60,988*Excl. Govt. Charges","Bentley , WA","4,600 km",Diesel,drive.com.au/cars-for-sale/car/969462897/
2022,Isuzu,D-MAX,"$68,732Drive Away","Indooroopilly, QLD",20 km,Diesel,drive.com.au/cars-for-sale/car/969462862/
2022,Mitsubishi,Triton,"$41,988*Excl. Govt. Charges","Bentley , WA","39,692 km",Diesel,drive.com.au/cars-for-sale/car/969462898/
2023,Nissan,Navara,"$78,888Drive Away","Indooroopilly, QLD",20 km,Diesel,drive.com.au/cars-for-sale/car/969462863/
2020,Volkswagen,Tiguan,"$47,988*Excl. Govt. Charges","Bentley , WA","66,106 km",Petrol,drive.com.au/cars-for-sale/car/969462913/
2023,Volkswagen,Amarok,"$57,990Drive Away","Liverpool, NSW",21 km,Diesel,drive.com.au/cars-for-sale/car/969462867/
2017,Toyota,Corolla,"$21,999*Excl. Govt. Charges","Seven Hills, NSW","53,130 km",Petrol,drive.com.au/cars-for-sale/car/969462945/
2016,Mitsubishi,Triton,"$33,789*Excl. Govt. Charges","Bentley , WA","135,531 km",Diesel,drive.com.au/cars-for-sale/car/969462881/
2019,Mazda,CX-5,"$32,930Drive Away","Maroochydore, QLD","87,348 km",Diesel,drive.com.au/cars-for-sale/car/969462963/
2015,Mercedes-Benz,E-Class,"$41,888*Excl. Govt. Charges","Midland, QLD","86,107 km",Petrol,drive.com.au/cars-for-sale/car/969462902/
2023,Toyota,Landcruiser,"$109,977*Excl. Govt. Charges","Bentley , WA",527 km,Diesel,drive.com.au/cars-for-sale/car/969462927/
2021,Isuzu,MU-X,"$52,990Drive Away","Cairns, QLD","34,888 km",Diesel,drive.com.au/cars-for-sale/car/969462909/
2018,Toyota,Landcruiser,"$79,980*Excl. Govt. Charges","Bentley , WA","95,132 km",Diesel,drive.com.au/cars-for-sale/car/969462912/
2015,Ford,Everest,"$34,000*Excl. Govt. Charges","Melville, WA","169,893 km",Diesel,drive.com.au/cars-for-sale/car/969462936/
2023,Toyota,Landcruiser,"$107,977*Excl. Govt. Charges","Bentley , WA","4,753 km",Diesel,drive.com.au/cars-for-sale/car/969462928/
2018,Volkswagen,Golf,"$21,990*Excl. Govt. Charges","Seven Hills, NSW","59,508 km",Petrol,drive.com.au/cars-for-sale/car/969462944/
2023,Mazda,CX-8,"$59,990Drive Away","Mornington, VIC","3,500 km",Petrol,drive.com.au/cars-for-sale/car/969462948/
2020,Toyota,Corolla,"$38,100Drive Away","Taree NSW, NSW","18,372 km",Petrol,drive.com.au/cars-for-sale/car/969462951/
2022,Audi,A6,"$88,000Drive Away","Mundingburra QLD , QLD","6,995 km",Petrol,drive.com.au/cars-for-sale/car/969462956/
2019,Volkswagen,Golf,"$41,085Drive Away","Rockdale , NSW","48,318 km",Petrol,drive.com.au/cars-for-sale/car/969462957/
2023,Volvo,V60 Cross Country,"$81,970Drive Away","Mulgrave, VIC","1,333 km",Petrol,drive.com.au/cars-for-sale/car/969462960/
2016,Holden,Commodore,"$21,990Drive Away","Laverton North, VIC","92,212 km",Petrol,drive.com.au/cars-for-sale/car/969462961/
2021,Toyota,Kluger,"$43,940Drive Away","Maroochydore, QLD","42,724 km",Petrol,drive.com.au/cars-for-sale/car/969462962/
2019,Mitsubishi,Pajero Sport,"$42,990Drive Away","Cairns, QLD","73,642 km",Diesel,drive.com.au/cars-for-sale/car/969462964/
2022,Mazda,CX-30,"$33,990Drive Away","Caboolture , QLD","23,311 km",Petrol,drive.com.au/cars-for-sale/car/969462965/
2014,Mazda,CX-9,"$12,355Drive Away","Minchinbury, NSW","262,344 km",Petrol,drive.com.au/cars-for-sale/car/969462967/
2016,Mazda,CX-3,"$13,657Drive Away","Hamilton, NSW","125,494 km",Petrol,drive.com.au/cars-for-sale/car/969462970/
2023,Kia,Cerato,"$28,498Drive Away","Windsor, QLD","2,016 km",Petrol,drive.com.au/cars-for-sale/car/969462980/
2019,Mitsubishi,Triton,"$37,990Drive Away","Laverton North, VIC","92,371 km",Diesel,drive.com.au/cars-for-sale/car/969462663/
2018,Toyota,Corolla,"$16,470Drive Away","North Gosford, NSW","232,000 km",Petrol,drive.com.au/cars-for-sale/car/969462721/
2018,Kia,Rio,"$17,490*Excl. Govt. Charges","Morley, WA","79,219 km",Petrol,drive.com.au/cars-for-sale/car/969462682/
2023,Nissan,Navara,"$65,012Drive Away","Indooroopilly, QLD",20 km,Diesel,drive.com.au/cars-for-sale/car/969462748/
2016,Volkswagen,Polo,"$18,799*Excl. Govt. Charges","Bibra Lake, WA","105,318 km",Petrol,drive.com.au/cars-for-sale/car/969462684/
2013,Volkswagen,Amarok,"$22,557Drive Away","Caboolture, QLD","203,450 km",Diesel,drive.com.au/cars-for-sale/car/969462769/
2016,Volkswagen,Polo,"$18,799*Excl. Govt. Charges","Melville, WA","105,318 km",Petrol,drive.com.au/cars-for-sale/car/969462688/
2023,Toyota,Hilux,"$85,189Drive Away","Myaree, WA","2,100 km",Diesel,drive.com.au/cars-for-sale/car/969462785/
2016,Honda,Odyssey,"$25,097Drive Away","Midland, WA","147,300 km",Petrol,drive.com.au/cars-for-sale/car/969462696/
2023,Toyota,Corolla,"$64,990*Excl. Govt. Charges","AVAILABLE FOR NSW DELIVERY ONLY, NSW","2,861 km",Petrol,drive.com.au/cars-for-sale/car/969462820/
2023,Subaru,Crosstrek,"$42,404Drive Away","Docklands, VIC","2,778 km",Petrol,drive.com.au/cars-for-sale/car/969462710/
2019,Ford,Ranger,"$44,384*Excl. Govt. Charges","Bentley , WA","111,113 km",Diesel,drive.com.au/cars-for-sale/car/969462836/
2021,Volkswagen,Tiguan,"$47,390Drive Away","North Gosford, NSW","40,818 km",Diesel,drive.com.au/cars-for-sale/car/969462715/
2014,Hyundai,Santa Fe,"$24,710Drive Away","North Gosford, NSW","97,133 km",Diesel,drive.com.au/cars-for-sale/car/969462720/
2016,Audi,A1,"$20,100Drive Away","Laverton North, VIC","81,930 km",Petrol,drive.com.au/cars-for-sale/car/969462728/
2017,Isuzu,MU-X,"$39,990Drive Away","Hervey Bay, QLD","66,851 km",Diesel,drive.com.au/cars-for-sale/car/969462737/
2023,Nissan,X-TRAIL,"$55,053Drive Away","Indooroopilly, QLD",20 km,Petrol,drive.com.au/cars-for-sale/car/969462747/
2018,Toyota,Hilux,"$42,350*Excl. Govt. Charges","Melville, WA","34,605 km",Diesel,drive.com.au/cars-for-sale/car/969462750/
2019,Holden,Trax,"$20,990Drive Away","Chermside, QLD","32,274 km",Petrol,drive.com.au/cars-for-sale/car/969462755/
2021,Nissan,Navara,"$59,990Drive Away","Cairns, QLD","38,368 km",Diesel,drive.com.au/cars-for-sale/car/969462763/
2020,Toyota,Landcruiser Prado,"$59,999Drive Away","Bells Creek QLD , QLD","61,546 km",Diesel,drive.com.au/cars-for-sale/car/969462765/
2011,Volkswagen,Amarok,"$16,470Drive Away","Caboolture, QLD","221,392 km",Diesel,drive.com.au/cars-for-sale/car/969462767/
2019,Holden,Colorado,"$28,990Drive Away","Slacks creek, QLD","128,401 km",Diesel,drive.com.au/cars-for-sale/car/969462779/
2023,Toyota,Landcruiser,"$101,164Drive Away","Myaree, WA","2,050 km",Diesel,drive.com.au/cars-for-sale/car/969462782/
2023,Toyota,Hilux,"$81,996*Excl. Govt. Charges","Bentley , WA","2,010 km",Diesel,drive.com.au/cars-for-sale/car/969462791/
2010,Ford,Territory,"$12,990Drive Away",QLD,"189,167 km",Petrol,drive.com.au/cars-for-sale/car/969462803/
2020,Toyota,Landcruiser Prado,"$73,110Drive Away","Stuart Park, NT","121,804 km",Diesel,drive.com.au/cars-for-sale/car/969462810/
2019,Nissan,Navara,"$34,301Drive Away","Edgewater, WA","149,568 km",Diesel,drive.com.au/cars-for-sale/car/969462813/
2018,Mercedes-Benz,GLE-Class,"$56,490*Excl. Govt. Charges","AVAILABLE FOR NSW DELIVERY ONLY, NSW","67,811 km",Diesel,drive.com.au/cars-for-sale/car/969462819/
2023,Hyundai,i30,"$58,418Drive Away","Midland, WA","2,150 km",Petrol,drive.com.au/cars-for-sale/car/969462828/
2023,Hyundai,i30,"$56,762Drive Away","Indooroopilly , QLD","2,137 km",Petrol,drive.com.au/cars-for-sale/car/969462831/
2023,Toyota,Hilux,"$63,988*Excl. Govt. Charges","Bentley , WA",200 km,Diesel,drive.com.au/cars-for-sale/car/969462835/
2018,Toyota,Corolla,"$19,990Drive Away","Cairns, QLD","108,640 km",Petrol,drive.com.au/cars-for-sale/car/969462529/
2013,Mazda,6,"$18,490Drive Away","Callemondah, QLD","127,713 km",Petrol,drive.com.au/cars-for-sale/car/969462482/
2021,Hyundai,i30,"$31,040Drive Away","Midland, WA","38,900 km",Petrol,drive.com.au/cars-for-sale/car/969462551/
2023,Jeep,Wrangler,"$78,888Drive Away","Port Macquarie , NSW",22 km,Petrol,drive.com.au/cars-for-sale/car/969462518/
2021,Ford,Ranger,"$58,990Drive Away","Callemondah, QLD","38,506 km",Diesel,drive.com.au/cars-for-sale/car/969462483/
2020,Volvo,XC60,"$52,990*Excl. Govt. Charges","Osborne Park, WA","90,448 km",Diesel,drive.com.au/cars-for-sale/car/969462521/
2020,Ford,Ranger,"$57,990Drive Away","Callemondah, QLD","15,798 km",Diesel,drive.com.au/cars-for-sale/car/969462484/
2021,Isuzu,MU-X,"$52,990Drive Away","Cairns, QLD","34,074 km",Diesel,drive.com.au/cars-for-sale/car/969462528/
2018,Porsche,Panamera,"$160,373Drive Away","Port Melbourne  , VIC","45,328 km",Petrol,drive.com.au/cars-for-sale/car/969462534/
2022,Ford,Everest,"$89,990Drive Away","Callemondah, QLD","31,619 km",Diesel,drive.com.au/cars-for-sale/car/969462489/
2010,Jeep,Grand Cherokee,"$15,599Drive Away","Labrador, QLD","174,664 km",Petrol,drive.com.au/cars-for-sale/car/969462535/
2021,Ford,Ranger,"$69,990Drive Away","Callemondah, QLD","40,786 km",Diesel,drive.com.au/cars-for-sale/car/969462490/
2023,Jeep,Gladiator,"$87,888Drive Away","Port Macquarie , NSW",24 km,Petrol,drive.com.au/cars-for-sale/car/969462546/
2022,Ford,Ranger,"$55,990Drive Away","Callemondah, QLD","11,266 km",Diesel,drive.com.au/cars-for-sale/car/969462491/
2016,Mercedes-Benz,GLC-Class,"$41,874Drive Away","Midland, WA","79,000 km",Petrol,drive.com.au/cars-for-sale/car/969462550/
2023,Jeep,Wrangler,"$83,888Drive Away","Port Macquarie , NSW",23 km,Petrol,drive.com.au/cars-for-sale/car/969462547/
2019,Subaru,Outback,"$24,490*Excl. Govt. Charges","AVAILABLE FOR NSW DELIVERY ONLY, NSW","112,981 km",Diesel,drive.com.au/cars-for-sale/car/969462555/
2020,Mercedes-Benz,A-Class,"$79,900Drive Away","Mona Vale, NSW","35,515 km",Petrol,drive.com.au/cars-for-sale/car/969462581/
2022,Mercedes-Benz,GLB-Class,"$89,800Drive Away","Berwick, VIC","17,805 km",Petrol,drive.com.au/cars-for-sale/car/969462565/
2017,Kia,Carnival,"$33,110Drive Away",QLD,"147,853 km",Petrol,drive.com.au/cars-for-sale/car/969462615/
2014,Volkswagen,Golf,"$14,990*Excl. Govt. Charges","Maddington, WA","119,404 km",Petrol,drive.com.au/cars-for-sale/car/969462571/
2015,Jeep,Grand Cherokee,"$22,760Drive Away",QLD,"151,857 km",Diesel,drive.com.au/cars-for-sale/car/969462617/
2021,Mercedes-Benz,GLB-Class,"$69,900Drive Away","Mona Vale, NSW","4,569 km",Petrol,drive.com.au/cars-for-sale/car/969462579/
2013,Ford,Ranger,"$24,830Drive Away",QLD,"254,596 km",Diesel,drive.com.au/cars-for-sale/car/969462619/
2023,LDV,D90,"$47,990Drive Away","Mildura , VIC",15 km,Diesel,drive.com.au/cars-for-sale/car/969462586/
2001,Toyota,Tarago,"$8,640Drive Away","Arncliffe, NSW","241,553 km",Petrol,drive.com.au/cars-for-sale/car/969462596/
2014,Mazda,6,"$19,990*Excl. Govt. Charges","Midland, WA","95,744 km",Petrol,drive.com.au/cars-for-sale/car/969462606/
2017,Toyota,Landcruiser,"$72,790Drive Away",QLD,"239,218 km",Diesel,drive.com.au/cars-for-sale/car/969462611/
2023,Hyundai,i30,"$58,200Drive Away","Brendale, QLD",25 km,Petrol,drive.com.au/cars-for-sale/car/969462635/
2015,Mitsubishi,Outlander,"$11,990Drive Away","Moorabbin, VIC","251,658 km",Diesel,drive.com.au/cars-for-sale/car/969462641/
2020,GWM,Ute,"$30,443Drive Away","Tuggeranong, ACT","76,218 km",Diesel,drive.com.au/cars-for-sale/car/969462642/
2022,Kia,Sorento,"$56,990Drive Away","Townsville City, QLD","5,641 km",Diesel,drive.com.au/cars-for-sale/car/969462653/
2019,Volkswagen,Passat,"$31,049Drive Away","Welshpool, WA","58,031 km",Petrol,drive.com.au/cars-for-sale/car/969462654/
2016,BMW,X5,"$43,990Drive Away","Brookvale, NSW","83,345 km",Diesel,drive.com.au/cars-for-sale/car/969462657/
2018,Toyota,Landcruiser,"$70,710Drive Away","Brisbane, QLD","146,979 km",Diesel,drive.com.au/cars-for-sale/car/969462359/
2023,Mitsubishi,ASX,"$33,430Drive Away","Nunawading , VIC",38 km,Petrol,drive.com.au/cars-for-sale/car/969462321/
2019,Honda,Odyssey,"$32,900Drive Away","Robina, QLD","57,241 km",Petrol,drive.com.au/cars-for-sale/car/969462423/
2018,Toyota,Hilux,"$44,980Drive Away","Acacia Ridge, QLD","95,762 km",Diesel,drive.com.au/cars-for-sale/car/969462334/
2019,Honda,Jazz,"$19,560Drive Away","Tweed Heads South, NSW","82,247 km",Petrol,drive.com.au/cars-for-sale/car/969462432/
2019,Ford,Ranger,"$57,890Drive Away","West Gosford, NSW","58,954 km",Diesel,drive.com.au/cars-for-sale/car/969462339/
2017,Ford,Ranger,"$27,851Drive Away","Heidelberg , VIC","168,611 km",Diesel,drive.com.au/cars-for-sale/car/969462439/
2020,Volkswagen,Polo,"$29,805Drive Away","Ringwood, VIC","39,821 km",Petrol,drive.com.au/cars-for-sale/car/969462348/
2018,Subaru,XV,"$28,315Drive Away","Morningside, QLD","79,615 km",Petrol,drive.com.au/cars-for-sale/car/969462447/
2018,Toyota,Landcruiser,"$72,790Drive Away","Brisbane, QLD","133,159 km",Diesel,drive.com.au/cars-for-sale/car/969462356/
2018,Toyota,Camry,"$29,860Drive Away","Morningside, QLD","44,013 km",Petrol,drive.com.au/cars-for-sale/car/969462448/
2014,Volkswagen,Jetta,"$13,990Drive Away","Brisbane, QLD","107,430 km",Petrol,drive.com.au/cars-for-sale/car/969462368/
2015,Nissan,Navara,"$30,890Drive Away","Morningside, QLD","136,655 km",Diesel,drive.com.au/cars-for-sale/car/969462449/
2022,Toyota,Corolla,"$31,040Drive Away","Rockingham, WA","22,007 km",Petrol,drive.com.au/cars-for-sale/car/969462387/
2014,Mazda,CX-5,"$22,650Drive Away","Morningside, QLD","89,820 km",Diesel,drive.com.au/cars-for-sale/car/969462450/
2019,Kia,Sportage,"$26,490Drive Away","Cairns, QLD","47,947 km",Petrol,drive.com.au/cars-for-sale/car/969462400/
2023,Volkswagen,Amarok,"$79,990Drive Away","Liverpool, NSW",21 km,Diesel,drive.com.au/cars-for-sale/car/969462402/
2019,Toyota,Hilux,"$44,990Drive Away",Helensvale,"106,485 km",Diesel,drive.com.au/cars-for-sale/car/969462403/
2021,Ford,Ranger,"$62,990Drive Away","Callemondah, QLD","72,593 km",Diesel,drive.com.au/cars-for-sale/car/969462493/
2017,Kia,Cerato,"$18,544Drive Away","Reynella, SA","80,698 km",Petrol,drive.com.au/cars-for-sale/car/969462408/
2021,Ford,Mustang,"$66,990Drive Away","Callemondah, QLD","28,323 km",Petrol,drive.com.au/cars-for-sale/car/969462494/
2023,Mitsubishi,Outlander,"$59,767Drive Away","Pennant Hills, NSW",17 km,Petrol,drive.com.au/cars-for-sale/car/969462420/
2020,Toyota,Landcruiser Prado,"$57,990Drive Away","Callemondah, QLD","161,546 km",Diesel,drive.com.au/cars-for-sale/car/969462495/
2020,Nissan,Navara,"$42,900Drive Away","Robina, QLD","97,230 km",Diesel,drive.com.au/cars-for-sale/car/969462422/
2019,Nissan,QASHQAI,"$26,990Drive Away","Callemondah, QLD","63,426 km",Petrol,drive.com.au/cars-for-sale/car/969462498/
2021,GWM,Ute,"$31,138Drive Away","Christies Beach, SA","45,685 km",Diesel,drive.com.au/cars-for-sale/car/969462427/
2011,Mitsubishi,Pajero,"$16,470Drive Away","Tweed Heads South, NSW","265,450 km",Diesel,drive.com.au/cars-for-sale/car/969462429/
2023,Ford,Ranger,"$76,851Drive Away","Heidelberg , VIC","6,124 km",Diesel,drive.com.au/cars-for-sale/car/969462438/
2015,Honda,HR-V,"$18,530Drive Away","Morningside, QLD","103,674 km",Petrol,drive.com.au/cars-for-sale/car/969462446/
2016,Hyundai,i30,"$21,559Drive Away","Laverton North, VIC","79,469 km",Petrol,drive.com.au/cars-for-sale/car/969462455/
2020,Toyota,Landcruiser,"$109,980*Excl. Govt. Charges","Maddington, WA","89,000 km",Diesel,drive.com.au/cars-for-sale/car/969462459/
2020,Toyota,Landcruiser,"$109,980*Excl. Govt. Charges","Maddington, WA","89,000 km",Diesel,drive.com.au/cars-for-sale/car/969462460/
2018,Isuzu,D-MAX,"$51,490Drive Away","Underwood, QLD","118,824 km",Diesel,drive.com.au/cars-for-sale/car/969462478/
2012,Honda,Accord,"$14,555*Excl. Govt. Charges","Melville, WA","153,812 km",Petrol,drive.com.au/cars-for-sale/car/969462206/
2017,Isuzu,MU-X,"$41,990*Excl. Govt. Charges","Midland, WA","88,600 km",Diesel,drive.com.au/cars-for-sale/car/969462164/
2015,Audi,S3,"$28,000*Excl. Govt. Charges","Melville, WA","107,271 km",Petrol,drive.com.au/cars-for-sale/car/969462210/
2021,Mazda,CX-5,"$36,980*Excl. Govt. Charges","Plympton, SA","49,011 km",Petrol,drive.com.au/cars-for-sale/car/969462172/
2012,Toyota,Kluger,"$22,500*Excl. Govt. Charges","Melville, WA","127,099 km",Petrol,drive.com.au/cars-for-sale/car/969462212/
2019,Toyota,C-HR,"$31,885*Excl. Govt. Charges","Canning Vale, WA","68,496 km",Petrol,drive.com.au/cars-for-sale/car/969462179/
2018,Audi,A5,"$42,000*Excl. Govt. Charges","Melville, WA","79,602 km",Petrol,drive.com.au/cars-for-sale/car/969462213/
2013,Jeep,Wrangler,"$26,770Drive Away","Brookvale , NSW","125,821 km",Petrol,drive.com.au/cars-for-sale/car/969462180/
2023,Audi,Q2,"$56,850Drive Away","Pennant Hills, NSW","1,117 km",Petrol,drive.com.au/cars-for-sale/car/969462296/
2016,Land,Rover Range Rover Evoque,"$35,010Drive Away","North Narrabeen , NSW","92,911 km",Diesel,drive.com.au/cars-for-sale/car/969462181/
2023,Audi,A3,"$55,850Drive Away","Pennant Hills, NSW","1,121 km",Petrol,drive.com.au/cars-for-sale/car/969462297/
2023,Audi,A3,"$53,850Drive Away","Pennant Hills, NSW","1,110 km",Petrol,drive.com.au/cars-for-sale/car/969462298/
2015,Toyota,Landcruiser Prado,"$49,000*Excl. Govt. Charges","Melville, WA","145,425 km",Diesel,drive.com.au/cars-for-sale/car/969462205/
2023,Audi,A3,"$56,850Drive Away","Pennant Hills, NSW","1,112 km",Petrol,drive.com.au/cars-for-sale/car/969462299/
2018,Holden,Trax,"$15,335Drive Away","Coffs Harbour, NSW","87,211 km",Petrol,drive.com.au/cars-for-sale/car/969462220/
2023,Audi,A3,"$53,850Drive Away","Pennant Hills, NSW","1,113 km",Petrol,drive.com.au/cars-for-sale/car/969462300/
2018,Hyundai,i30,"$17,990Drive Away","Cairns, QLD","101,845 km",Petrol,drive.com.au/cars-for-sale/car/969462224/
2023,Audi,A3,"$64,850Drive Away","Pennant Hills, NSW","1,113 km",Petrol,drive.com.au/cars-for-sale/car/969462301/
2015,Nissan,X-TRAIL,"$19,900Drive Away","Bundoora, VIC","127,000 km",Petrol,drive.com.au/cars-for-sale/car/969462228/
2023,Audi,A3,"$56,850Drive Away","Pennant Hills, NSW","1,113 km",Petrol,drive.com.au/cars-for-sale/car/969462303/
2018,Volkswagen,Passat,"$22,557Drive Away","Phillip, ACT","127,386 km",Petrol,drive.com.au/cars-for-sale/car/969462237/
2015,Mazda,3,"$24,888Drive Away",QLD,"72,212 km",Petrol,drive.com.au/cars-for-sale/car/969462316/
2014,Mercedes-Benz,S-Class,"$62,510Drive Away","Port Melbourne  , VIC","126,902 km",Diesel,drive.com.au/cars-for-sale/car/969462240/
2023,Mitsubishi,Pajero Sport,"$58,980Drive Away","Nunawading , VIC",NA,Diesel,drive.com.au/cars-for-sale/car/969462322/
2023,BMW,2 Series,"$93,034Drive Away","Albion, QLD","12,007 km",Petrol,drive.com.au/cars-for-sale/car/969462243/
2023,Mitsubishi,Triton,"$55,490Drive Away","Nunawading , VIC",NA,Diesel,drive.com.au/cars-for-sale/car/969462325/
2018,Holden,Astra,"$18,990Drive Away","Cairns, QLD","73,130 km",Petrol,drive.com.au/cars-for-sale/car/969462254/
2016,Mazda,BT-50,"$35,990Drive Away","Bungalow, QLD","127,463 km",Diesel,drive.com.au/cars-for-sale/car/969462257/
2023,Nissan,Navara,"$61,690Drive Away","Wollongong, NSW",10 km,Diesel,drive.com.au/cars-for-sale/car/969462270/
2023,Audi,Q5,"$84,940Drive Away","Cairns, QLD","2,025 km",Petrol,drive.com.au/cars-for-sale/car/969462278/
2023,Audi,A3,"$49,850Drive Away","Pennant Hills, NSW","1,119 km",Petrol,drive.com.au/cars-for-sale/car/969462293/
2023,Volkswagen,T-Cross,"$34,990Drive Away","Botany , NSW",10 km,Petrol,drive.com.au/cars-for-sale/car/969462311/
2022,Kia,Sportage,"$57,130Drive Away","Mile End, SA","12,855 km",Petrol,drive.com.au/cars-for-sale/car/969462313/
2013,Hyundai,Santa Fe,"$20,485Drive Away",QLD,"178,438 km",Diesel,drive.com.au/cars-for-sale/car/969462315/
2021,Toyota,Fortuner,"$54,688*Excl. Govt. Charges","Canning Vale, WA","75,982 km",Diesel,drive.com.au/cars-for-sale/car/969462003/
2022,Ford,Ranger,"$72,988*Excl. Govt. Charges","Bentley , WA","10,900 km",Diesel,drive.com.au/cars-for-sale/car/969461996/
2019,Mazda,3,"$26,990*Excl. Govt. Charges","Eagle Farm, QLD","39,048 km",Petrol,drive.com.au/cars-for-sale/car/969462027/
2023,Toyota,Kluger,"$64,974*Excl. Govt. Charges","Canning Vale, WA",135 km,Petrol,drive.com.au/cars-for-sale/car/969462001/
2023,Mitsubishi,Outlander,"$57,790Drive Away","Robina, QLD",4 km,Petrol,drive.com.au/cars-for-sale/car/969462047/
2017,Ford,Ranger,"$45,550*Excl. Govt. Charges","Westgate, NSW","94,653 km",Diesel,drive.com.au/cars-for-sale/car/969462004/
2023,Mitsubishi,Triton,"$54,900Drive Away","Robina, QLD",11 km,Diesel,drive.com.au/cars-for-sale/car/969462052/
2016,Porsche,Macan,"$49,999*Excl. Govt. Charges","Canning Vale, WA","80,343 km",Petrol,drive.com.au/cars-for-sale/car/969462008/
2023,Mitsubishi,Outlander,"$49,950Drive Away","Robina, QLD",4 km,Petrol,drive.com.au/cars-for-sale/car/969462053/
2018,Kia,Picanto,"$17,580*Excl. Govt. Charges","Bentley , WA","66,823 km",Petrol,drive.com.au/cars-for-sale/car/969462009/
2023,Mitsubishi,Outlander,"$58,800Drive Away","Robina, QLD",224 km,Petrol,drive.com.au/cars-for-sale/car/969462054/
