Year,Make,Model,Price,Location,Mileage,Fuel Type,URL
2024,Audi,Q2,"$52,990Drive Away","Bentleigh , VIC","1,006 km",Petrol,drive.com.au/cars-for-sale/car/969495554/
2020,Toyota,Corolla,"$25,968*Excl. Govt. Charges","Bentley , WA","64,728 km",Petrol,drive.com.au/cars-for-sale/car/969496006/
2016,Honda,Civic,"$22,288Drive Away","Laverton North, VIC","69,053 km",Petrol,drive.com.au/cars-for-sale/car/969495578/
2018,Isuzu,D-MAX,"$46,994*Excl. Govt. Charges","Bentley , WA","117,695 km",Diesel,drive.com.au/cars-for-sale/car/969496036/
2019,Mazda,CX-5,"$36,950*Excl. Govt. Charges","Westgate, NSW","90,082 km",Petrol,drive.com.au/cars-for-sale/car/969495648/
2015,Toyota,Kluger,"$26,990Drive Away",QLD,"171,000 km",Petrol,drive.com.au/cars-for-sale/car/969495683/
2020,Mazda,CX-3,"$25,677Drive Away","Wangara, WA","80,580 km",Petrol,drive.com.au/cars-for-sale/car/969495730/
2016,Nissan,X-TRAIL,"$22,650Drive Away","Derwent Park, TAS","97,300 km",Petrol,drive.com.au/cars-for-sale/car/969495796/
2018,LDV,T60,"$22,776Drive Away","Mile End South, SA","142,675 km",Diesel,drive.com.au/cars-for-sale/car/969495799/
2018,Toyota,Kluger,"$33,968*Excl. Govt. Charges","Bentley , WA","92,477 km",Petrol,drive.com.au/cars-for-sale/car/969495854/
2021,Toyota,C-HR,"$37,574Drive Away","Midland, WA","87,300 km",Petrol,drive.com.au/cars-for-sale/car/969495880/
2017,Mazda,CX-5,"$25,677Drive Away","Wangara, WA","141,480 km",Petrol,drive.com.au/cars-for-sale/car/969495882/
2020,Toyota,Landcruiser Prado,"$76,170Drive Away","Tuggeranong, ACT","37,598 km",Diesel,drive.com.au/cars-for-sale/car/969495914/
2020,Toyota,Hilux,"$26,770Drive Away","Eagle Farm, QLD","25,947 km",Petrol,drive.com.au/cars-for-sale/car/969495917/
2018,Toyota,Camry,"$26,980*Excl. Govt. Charges","Palmerston, NT","65,500 km",Petrol,drive.com.au/cars-for-sale/car/969495926/
2023,Toyota,Landcruiser,"$91,463Drive Away","Maddington, WA",133 km,Diesel,drive.com.au/cars-for-sale/car/969495958/
2020,Mitsubishi,Outlander,"$28,990*Excl. Govt. Charges","AVAILABLE FOR NSW DELIVERY ONLY, NSW","48,396 km",Petrol,drive.com.au/cars-for-sale/car/969495998/
2019,Nissan,Navara,"$55,379Drive Away","Welshpool, WA","44,879 km",Diesel,drive.com.au/cars-for-sale/car/969496002/
2013,Toyota,Hilux,"$29,984*Excl. Govt. Charges","Bentley , WA","142,398 km",Diesel,drive.com.au/cars-for-sale/car/969496005/
2016,Mitsubishi,ASX,"$17,980Drive Away","Nedlands, WA","106,000 km",Petrol,drive.com.au/cars-for-sale/car/969496067/
2013,Hyundai,Veloster,"$16,000*Excl. Govt. Charges","Melville, WA","124,193 km",Petrol,drive.com.au/cars-for-sale/car/969496074/
2023,Mitsubishi,Triton,"$49,800Drive Away","Glen Waverley, VIC",12 km,Diesel,drive.com.au/cars-for-sale/car/969495444/
2018,Mercedes-Benz,C-Class,"$44,950*Excl. Govt. Charges","Fairfield, VIC","73,578 km",Petrol,drive.com.au/cars-for-sale/car/969495345/
2023,Mitsubishi,Triton,"$38,888Drive Away","Glen Waverley, VIC",10 km,Diesel,drive.com.au/cars-for-sale/car/969495559/
2019,Mitsubishi,Pajero Sport,"$39,888Drive Away","Narre Warren, VIC","105,890 km",Diesel,drive.com.au/cars-for-sale/car/969495355/
2016,Mitsubishi,Pajero,"$45,333Drive Away","Wangara, WA","143,425 km",Diesel,drive.com.au/cars-for-sale/car/969495725/
2017,Volkswagen,Golf,"$44,280Drive Away","Kirrawee, NSW","56,912 km",Petrol,drive.com.au/cars-for-sale/car/969495401/
2016,Isuzu,MU-X,"$37,574Drive Away","Wangara, WA","165,674 km",Diesel,drive.com.au/cars-for-sale/car/969495735/
2022,Ford,Ranger,"$87,990Drive Away","Mackay, QLD","20,814 km",Petrol,drive.com.au/cars-for-sale/car/969495421/
2023,Mitsubishi,Triton,"$49,800Drive Away","Glen Waverley, VIC",10 km,Diesel,drive.com.au/cars-for-sale/car/969495441/
2021,Ford,Ranger,"$74,540Drive Away","Wangara, WA","41,798 km",Diesel,drive.com.au/cars-for-sale/car/969495767/
2018,Volkswagen,Polo,"$26,990*Excl. Govt. Charges","Canning Vale, WA","86,202 km",Petrol,drive.com.au/cars-for-sale/car/969495450/
2019,Mitsubishi,ASX,"$28,886Drive Away","Wangara, WA","52,269 km",Petrol,drive.com.au/cars-for-sale/car/969495777/
2014,Nissan,X-TRAIL,"$14,999Drive Away",,"178,921 km",Petrol,drive.com.au/cars-for-sale/car/969495465/
2020,Kia,Cerato,"$20,980*Excl. Govt. Charges","Bentley , WA","71,063 km",Petrol,drive.com.au/cars-for-sale/car/969495857/
2023,Volkswagen,Polo,"$31,990Drive Away","Hamilton, NSW",16 km,Petrol,drive.com.au/cars-for-sale/car/969495467/
2012,Mitsubishi,ASX,"$13,990*Excl. Govt. Charges","Eagle Farm, QLD","79,362 km",Petrol,drive.com.au/cars-for-sale/car/969496063/
2023,Mitsubishi,Triton,"$32,990Drive Away","Glen Waverley, VIC",11 km,Diesel,drive.com.au/cars-for-sale/car/969495556/
2020,MG,ZS,"$19,354Drive Away","Morningside, QLD","28,994 km",Petrol,drive.com.au/cars-for-sale/car/969495566/
2018,Toyota,Landcruiser Prado,"$47,401Drive Away","Laverton North, VIC","101,186 km",Diesel,drive.com.au/cars-for-sale/car/969495577/
2016,Mercedes-Benz,GLE-Class,"$46,450*Excl. Govt. Charges","Midland, WA","80,010 km",Diesel,drive.com.au/cars-for-sale/car/969495582/
2011,MINI,Countryman,"$17,990Drive Away",QLD,"122,793 km",Diesel,drive.com.au/cars-for-sale/car/969495599/
2015,Mazda,2,"$16,583Drive Away","Phillip, ACT","92,234 km",Petrol,drive.com.au/cars-for-sale/car/969495617/
2019,Toyota,Corolla,"$21,560Drive Away","Goulburn, NSW","78,323 km",Petrol,drive.com.au/cars-for-sale/car/969495635/
2017,Holden,Trax,"$16,470Drive Away","Phillip, ACT","114,629 km",Petrol,drive.com.au/cars-for-sale/car/969495636/
